"행정구역","2011년12월_전체세대","2011년12월_1인세대","2011년12월_2인세대","2011년12월_3인세대","2011년12월_4인세대","2011년12월_5인세대","2011년12월_6인세대","2011년12월_7인세대","2011년12월_8인세대","2011년12월_9인세대","2011년12월_10인세대"
"전국  (1000000000)","20,033,142","6,670,275","3,912,870","3,699,306","4,192,102","1,187,613","278,129","66,992","16,830","4,987","4,038"
"서울특별시  (1100000000)","4,192,752","1,510,800","785,146","775,276","853,744","208,966","44,996","10,053","2,539","714","518"
"서울특별시 종로구 (1111000000)","76,688","35,239","13,530","11,648","11,821","3,370","791","217","42","16","14"
"서울특별시 중구 (1114000000)","61,475","28,369","11,518","9,468","8,956","2,376","591","133","42","8","14"
"서울특별시 용산구 (1117000000)","112,617","50,449","21,381","17,931","17,156","4,336","1,015","259","60","11","19"
"서울특별시 성동구 (1120000000)","126,148","47,725","24,126","22,740","23,739","5,992","1,372","341","85","23","5"
"서울특별시 광진구 (1121500000)","158,472","62,990","28,736","27,233","30,347","7,219","1,511","318","85","18","15"
"서울특별시 동대문구 (1123000000)","157,823","64,626","28,945","26,876","27,714","7,286","1,804","406","127","22","17"
"서울특별시 중랑구 (1126000000)","175,115","63,539","33,808","33,015","33,780","8,540","1,900","401","95","22","15"
"서울특별시 성북구 (1129000000)","199,398","72,437","37,629","37,301","39,284","9,806","2,236","521","120","32","32"
"서울특별시 강북구 (1130500000)","142,527","50,428","29,144","27,815","26,155","6,885","1,570","376","105","28","21"
"서울특별시 도봉구 (1132000000)","139,348","40,487","27,041","29,435","32,308","7,809","1,768","362","87","37","14"
"서울특별시 노원구 (1135000000)","225,104","61,466","43,115","46,706","57,694","12,993","2,450","501","128","36","15"
"서울특별시 은평구 (1138000000)","197,582","66,099","39,794","38,793","39,499","10,362","2,338","504","118","46","29"
"서울특별시 서대문구 (1141000000)","134,730","53,256","25,822","23,536","24,201","6,047","1,431","335","69","15","18"
"서울특별시 마포구 (1144000000)","168,640","67,988","32,724","28,884","29,545","7,305","1,647","394","110","19","24"
"서울특별시 양천구 (1147000000)","182,677","49,469","31,580","37,335","49,863","11,553","2,191","481","146","37","22"
"서울특별시 강서구 (1150000000)","223,490","70,774","43,571","45,085","48,874","12,056","2,392","546","122","40","30"
"서울특별시 구로구 (1153000000)","171,064","57,513","33,160","33,112","35,768","8,930","1,987","440","105","26","23"
"서울특별시 금천구 (1154500000)","103,600","40,770","19,298","18,300","19,032","4,778","1,096","236","60","17","13"
"서울특별시 영등포구 (1156000000)","168,850","66,286","31,560","29,516","31,510","7,697","1,720","393","106","28","34"
"서울특별시 동작구 (1159000000)","167,099","61,845","32,645","30,118","31,976","8,074","1,864","415","107","36","19"
"서울특별시 관악구 (1162000000)","246,979","117,205","44,086","37,270","36,554","9,212","2,037","459","105","32","19"
"서울특별시 서초구 (1165000000)","168,988","54,604","30,434","32,999","39,349","9,064","1,895","442","137","40","24"
"서울특별시 강남구 (1168000000)","231,983","86,537","40,552","40,512","49,961","11,391","2,307","515","132","41","35"
