"행정구역","2015년12월_전월인구수_남자인구수","2015년12월_전월인구수_여자인구수","2015년12월_전월인구수_계","2015년12월_당월인구수_남자인구수","2015년12월_당월인구수_여자인구수","2015년12월_당월인구수_계","2015년12월_인구증감_남자인구수","2015년12월_인구증감_여자인구수","2015년12월_인구증감_계"
"전국  (1000000000)","25,752,345","25,763,054","51,515,399","25,758,186","25,771,152","51,529,338","5,841","8,098","13,939"
"서울특별시  (1100000000)","4,938,482","5,097,115","10,035,597","4,930,943","5,091,238","10,022,181","-7,539","-5,877","-13,416"
"서울특별시 종로구 (1111000000)","76,722","78,599","155,321","76,548","78,438","154,986","-174","-161","-335"
"서울특별시 종로구 청운효자동(1111051500)","6,698","7,443","14,141","6,673","7,432","14,105","-25","-11","-36"
"서울특별시 종로구 사직동(1111053000)","4,487","5,180","9,667","4,506","5,194","9,700","19","14","33"
"서울특별시 종로구 삼청동(1111054000)","1,395","1,566","2,961","1,393","1,567","2,960","-2","1","-1"
"서울특별시 종로구 부암동(1111055000)","5,246","5,505","10,751","5,250","5,530","10,780","4","25","29"
"서울특별시 종로구 평창동(1111056000)","9,143","10,133","19,276","9,112","10,100","19,212","-31","-33","-64"
"서울특별시 종로구 무악동(1111057000)","4,050","4,518","8,568","4,042","4,499","8,541","-8","-19","-27"
"서울특별시 종로구 교남동(1111058000)","2,299","2,513","4,812","2,305","2,492","4,797","6","-21","-15"
"서울특별시 종로구 가회동(1111060000)","2,251","2,600","4,851","2,246","2,591","4,837","-5","-9","-14"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","4,572","3,339","7,911","4,553","3,323","7,876","-19","-16","-35"
"서울특별시 종로구 종로5.6가동(1111063000)","3,200","2,554","5,754","3,174","2,545","5,719","-26","-9","-35"
"서울특별시 종로구 이화동(1111064000)","4,098","4,591","8,689","4,103","4,587","8,690","5","-4","1"
"서울특별시 종로구 혜화동(1111065000)","8,748","9,095","17,843","8,735","9,063","17,798","-13","-32","-45"
"서울특별시 종로구 창신제1동(1111067000)","3,238","2,795","6,033","3,221","2,762","5,983","-17","-33","-50"
"서울특별시 종로구 창신제2동(1111068000)","5,025","4,865","9,890","4,996","4,835","9,831","-29","-30","-59"
"서울특별시 종로구 창신제3동(1111069000)","3,905","3,869","7,774","3,901","3,866","7,767","-4","-3","-7"
"서울특별시 종로구 숭인제1동(1111070000)","3,434","3,436","6,870","3,426","3,436","6,862","-8","0","-8"
"서울특별시 종로구 숭인제2동(1111071000)","4,933","4,597","9,530","4,912","4,616","9,528","-21","19","-2"
"서울특별시 중구 (1114000000)","62,840","63,194","126,034","62,687","63,046","125,733","-153","-148","-301"
"서울특별시 중구 소공동(1114052000)","678","570","1,248","679","569","1,248","1","-1","0"
"서울특별시 중구 회현동(1114054000)","3,089","2,542","5,631","3,070","2,524","5,594","-19","-18","-37"
"서울특별시 중구 명동(1114055000)","1,306","1,703","3,009","1,303","1,707","3,010","-3","4","1"
"서울특별시 중구 필동(1114057000)","2,246","2,081","4,327","2,229","2,071","4,300","-17","-10","-27"
"서울특별시 중구 장충동(1114058000)","2,684","2,509","5,193","2,668","2,507","5,175","-16","-2","-18"
"서울특별시 중구 광희동(1114059000)","2,650","2,359","5,009","2,629","2,351","4,980","-21","-8","-29"
