"행정구역","2010년12월_총인구수","2010년12월_세대수","2010년12월_세대당 인구","2010년12월_남자 인구수","2010년12월_여자 인구수","2010년12월_남여 비율"
"서울특별시  (1100000000)","10,312,545","4,224,181","          2.44","5,111,259","5,201,286","          0.98"
"서울특별시 종로구 (1111000000)","170,578","77,621","          2.20","85,182","85,396","          1.00"
"서울특별시 종로구 청운효자동(1111051500)","15,688","6,236","          2.52","7,645","8,043","          0.95"
"서울특별시 종로구 사직동(1111053000)","10,203","4,699","          2.17","4,796","5,407","          0.89"
"서울특별시 종로구 삼청동(1111054000)","3,517","1,659","          2.12","1,690","1,827","          0.93"
"서울특별시 종로구 부암동(1111055000)","11,406","4,630","          2.46","5,644","5,762","          0.98"
"서울특별시 종로구 평창동(1111056000)","19,566","7,342","          2.66","9,415","10,151","          0.93"
"서울특별시 종로구 무악동(1111057000)","8,663","3,293","          2.63","4,168","4,495","          0.93"
"서울특별시 종로구 교남동(1111058000)","9,140","4,459","          2.05","4,507","4,633","          0.97"
"서울특별시 종로구 가회동(1111060000)","5,709","2,535","          2.25","2,747","2,962","          0.93"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","8,010","5,289","          1.51","4,627","3,383","          1.37"
"서울특별시 종로구 종로5.6가동(1111063000)","6,302","3,147","          2.00","3,383","2,919","          1.16"
"서울특별시 종로구 이화동(1111064000)","9,358","4,552","          2.06","4,518","4,840","          0.93"
"서울특별시 종로구 혜화동(1111065000)","12,112","5,785","          2.09","5,897","6,215","          0.95"
"서울특별시 종로구 명륜3가동(1111066000)","6,336","3,556","          1.78","3,369","2,967","          1.14"
"서울특별시 종로구 창신제1동(1111067000)","7,113","3,760","          1.89","3,725","3,388","          1.10"
"서울특별시 종로구 창신제2동(1111068000)","11,811","5,239","          2.25","6,009","5,802","          1.04"
"서울특별시 종로구 창신제3동(1111069000)","8,700","3,233","          2.69","4,350","4,350","          1.00"
"서울특별시 종로구 숭인제1동(1111070000)","7,594","3,327","          2.28","3,804","3,790","          1.00"
"서울특별시 종로구 숭인제2동(1111071000)","9,350","4,880","          1.92","4,888","4,462","          1.10"
"서울특별시 중구 (1114000000)","132,822","61,468","          2.16","66,879","65,943","          1.01"
"서울특별시 중구 소공동(1114052000)","1,257","677","          1.86","661","596","          1.11"
"서울특별시 중구 회현동(1114054000)","5,537","3,419","          1.62","3,077","2,460","          1.25"
"서울특별시 중구 명동(1114055000)","3,445","1,727","          1.99","1,537","1,908","          0.81"
"서울특별시 중구 필동(1114057000)","4,675","2,396","          1.95","2,481","2,194","          1.13"
"서울특별시 중구 장충동(1114058000)","5,675","2,972","          1.91","2,891","2,784","          1.04"
"서울특별시 중구 광희동(1114059000)","5,758","3,160","          1.82","3,125","2,633","          1.19"
"서울특별시 중구 을지로동(1114060500)","2,009","1,398","          1.44","1,251","758","          1.65"
"서울특별시 중구 신당제1동(1114061000)","8,403","4,243","          1.98","4,335","4,068","          1.07"
"서울특별시 중구 신당제2동(1114062000)","16,823","7,414","          2.27","8,284","8,539","          0.97"
"서울특별시 중구 신당제3동(1114063000)","19,676","8,056","          2.44","9,518","10,158","          0.94"
"서울특별시 중구 신당제4동(1114064000)","16,211","6,648","          2.44","7,818","8,393","          0.93"
"서울특별시 중구 신당제5동(1114065000)","8,221","3,841","          2.14","4,177","4,044","          1.03"
"서울특별시 중구 신당제6동(1114066000)","9,686","3,732","          2.60","4,779","4,907","          0.97"
"서울특별시 중구 황학동(1114067000)","12,705","5,984","          2.12","6,501","6,204","          1.05"
"서울특별시 중구 중림동(1114068000)","12,741","5,801","          2.20","6,444","6,297","          1.02"
"서울특별시 용산구 (1117000000)","244,853","113,204","          2.16","119,482","125,371","          0.95"
"서울특별시 용산구 후암동(1117051000)","20,355","9,266","          2.20","10,174","10,181","          1.00"
"서울특별시 용산구 용산2가동(1117052000)","13,355","6,277","          2.13","6,497","6,858","          0.95"
"서울특별시 용산구 남영동(1117053000)","7,947","5,163","          1.54","4,702","3,245","          1.45"
"서울특별시 용산구 청파동(1117055500)","24,011","11,953","          2.01","11,745","12,266","          0.96"
"서울특별시 용산구 원효로제1동(1117056000)","10,979","5,149","          2.13","5,517","5,462","          1.01"
"서울특별시 용산구 원효로제2동(1117057000)","16,222","6,314","          2.57","7,764","8,458","          0.92"
"서울특별시 용산구 효창동(1117058000)","11,386","4,541","          2.51","5,532","5,854","          0.94"
"서울특별시 용산구 용문동(1117059000)","13,433","5,260","          2.55","6,612","6,821","          0.97"
"서울특별시 용산구 한강로동(1117062500)","16,021","8,186","          1.96","8,040","7,981","          1.01"
"서울특별시 용산구 이촌제1동(1117063000)","27,385","10,227","          2.68","12,774","14,611","          0.87"
"서울특별시 용산구 이촌제2동(1117064000)","10,609","4,460","          2.38","5,098","5,511","          0.93"
"서울특별시 용산구 이태원제1동(1117065000)","8,739","4,623","          1.89","4,011","4,728","          0.85"
"서울특별시 용산구 이태원제2동(1117066000)","11,441","5,494","          2.08","5,409","6,032","          0.90"
"서울특별시 용산구 한남동(1117068500)","23,030","12,262","          1.88","11,136","11,894","          0.94"
"서울특별시 용산구 서빙고동(1117069000)","11,479","4,973","          2.31","5,529","5,950","          0.93"
"서울특별시 용산구 보광동(1117070000)","18,461","9,056","          2.04","8,942","9,519","          0.94"
"서울특별시 성동구 (1120000000)","309,093","129,644","          2.38","155,067","154,026","          1.01"
"서울특별시 성동구 왕십리제2동(1120052000)","18,943","7,711","          2.46","9,437","9,506","          0.99"
"서울특별시 성동구 왕십리도선동(1120053500)","13,045","5,765","          2.26","6,524","6,521","          1.00"
"서울특별시 성동구 마장동(1120054000)","25,826","10,358","          2.49","12,994","12,832","          1.01"
"서울특별시 성동구 사근동(1120055000)","10,746","5,798","          1.85","5,717","5,029","          1.14"
"서울특별시 성동구 행당제1동(1120056000)","17,998","7,719","          2.33","8,884","9,114","          0.97"
"서울특별시 성동구 행당제2동(1120057000)","25,996","9,292","          2.80","12,502","13,494","          0.93"
"서울특별시 성동구 응봉동(1120058000)","17,607","6,628","          2.66","8,471","9,136","          0.93"
"서울특별시 성동구 금호1가동(1120059000)","16,077","6,293","          2.55","7,844","8,233","          0.95"
"서울특별시 성동구 금호2.3가동(1120061500)","22,705","9,434","          2.41","11,073","11,632","          0.95"
"서울특별시 성동구 금호4가동(1120062000)","15,330","6,505","          2.36","7,555","7,775","          0.97"
"서울특별시 성동구 옥수동(1120064500)","24,358","10,077","          2.42","11,956","12,402","          0.96"
"서울특별시 성동구 성수1가제1동(1120065000)","18,398","7,487","          2.46","9,468","8,930","          1.06"
"서울특별시 성동구 성수1가제2동(1120066000)","19,026","8,301","          2.29","9,696","9,330","          1.04"
"서울특별시 성동구 성수2가제1동(1120067000)","21,346","9,353","          2.28","11,092","10,254","          1.08"
"서울특별시 성동구 성수2가제3동(1120069000)","12,133","5,400","          2.25","6,258","5,875","          1.07"
"서울특별시 성동구 송정동(1120072000)","12,520","5,809","          2.16","6,630","5,890","          1.13"
"서울특별시 성동구 용답동(1120079000)","17,039","7,714","          2.21","8,966","8,073","          1.11"
"서울특별시 광진구 (1121500000)","375,463","159,675","          2.35","186,024","189,439","          0.98"
"서울특별시 광진구 화양동(1121571000)","21,499","12,806","          1.68","10,646","10,853","          0.98"
"서울특별시 광진구 군자동(1121573000)","21,836","10,271","          2.13","11,039","10,797","          1.02"
"서울특별시 광진구 중곡제1동(1121574000)","17,082","7,795","          2.19","8,471","8,611","          0.98"
"서울특별시 광진구 중곡제2동(1121575000)","23,034","9,592","          2.40","11,371","11,663","          0.97"
"서울특별시 광진구 중곡제3동(1121576000)","19,762","8,394","          2.35","9,898","9,864","          1.00"
"서울특별시 광진구 중곡제4동(1121577000)","32,217","12,688","          2.54","16,034","16,183","          0.99"
"서울특별시 광진구 능동(1121578000)","10,941","5,420","          2.02","5,219","5,722","          0.91"
"서울특별시 광진구 광장동(1121581000)","35,522","11,734","          3.03","17,340","18,182","          0.95"
"서울특별시 광진구 자양제1동(1121582000)","24,710","11,285","          2.19","12,308","12,402","          0.99"
"서울특별시 광진구 자양제2동(1121583000)","29,440","11,761","          2.50","14,785","14,655","          1.01"
"서울특별시 광진구 자양제3동(1121584000)","32,298","11,752","          2.75","15,942","16,356","          0.97"
"서울특별시 광진구 자양제4동(1121584700)","26,781","12,878","          2.08","13,701","13,080","          1.05"
"서울특별시 광진구 구의제1동(1121585000)","23,094","10,932","          2.11","11,179","11,915","          0.94"
"서울특별시 광진구 구의제2동(1121586000)","26,834","10,690","          2.51","13,334","13,500","          0.99"
"서울특별시 광진구 구의제3동(1121587000)","30,413","11,677","          2.60","14,757","15,656","          0.94"
"서울특별시 동대문구 (1123000000)","366,786","158,485","          2.31","184,874","181,912","          1.02"
"서울특별시 동대문구 용신동(1123053600)","33,017","16,105","          2.05","17,200","15,817","          1.09"
"서울특별시 동대문구 제기동(1123054500)","28,308","13,013","          2.18","14,468","13,840","          1.05"
"서울특별시 동대문구 전농제1동(1123056000)","28,091","13,087","          2.15","14,542","13,549","          1.07"
"서울특별시 동대문구 전농제2동(1123057000)","20,163","7,360","          2.74","9,899","10,264","          0.96"
"서울특별시 동대문구 답십리제1동(1123060000)","20,766","9,023","          2.30","10,474","10,292","          1.02"
"서울특별시 동대문구 답십리제2동(1123061000)","32,645","12,344","          2.64","16,195","16,450","          0.98"
"서울특별시 동대문구 장안제1동(1123065000)","36,764","14,735","          2.50","18,646","18,118","          1.03"
"서울특별시 동대문구 장안제2동(1123066000)","32,963","13,031","          2.53","16,700","16,263","          1.03"
"서울특별시 동대문구 청량리동(1123070500)","25,122","11,091","          2.27","12,650","12,472","          1.01"
"서울특별시 동대문구 회기동(1123071000)","10,853","5,567","          1.95","5,259","5,594","          0.94"
"서울특별시 동대문구 휘경제1동(1123072000)","17,226","8,243","          2.09","8,644","8,582","          1.01"
"서울특별시 동대문구 휘경제2동(1123073000)","24,215","9,861","          2.46","11,968","12,247","          0.98"
"서울특별시 동대문구 이문제1동(1123074000)","32,928","16,097","          2.05","16,486","16,442","          1.00"
"서울특별시 동대문구 이문제2동(1123075000)","23,725","8,928","          2.66","11,743","11,982","          0.98"
"서울특별시 중랑구 (1126000000)","427,455","176,096","          2.43","214,383","213,072","          1.01"
"서울특별시 중랑구 면목제2동(1126052000)","28,964","12,360","          2.34","14,681","14,283","          1.03"
"서울특별시 중랑구 면목제4동(1126054000)","23,574","10,323","          2.28","11,633","11,941","          0.97"
"서울특별시 중랑구 면목제5동(1126055000)","14,615","6,356","          2.30","7,521","7,094","          1.06"
"서울특별시 중랑구 면목본동(1126056500)","37,055","16,163","          2.29","18,606","18,449","          1.01"
"서울특별시 중랑구 면목제7동(1126057000)","26,536","10,893","          2.44","13,246","13,290","          1.00"
"서울특별시 중랑구 면목제3.8동(1126057500)","30,326","12,975","          2.34","15,234","15,092","          1.01"
"서울특별시 중랑구 상봉제1동(1126058000)","26,117","9,430","          2.77","12,949","13,168","          0.98"
"서울특별시 중랑구 상봉제2동(1126059000)","18,817","9,068","          2.08","9,542","9,275","          1.03"
"서울특별시 중랑구 중화제1동(1126060000)","21,982","8,398","          2.62","10,987","10,995","          1.00"
"서울특별시 중랑구 중화제2동(1126061000)","31,737","14,859","          2.14","16,358","15,379","          1.06"
"서울특별시 중랑구 묵제1동(1126062000)","34,802","13,209","          2.63","17,180","17,622","          0.97"
