"행정구역","2015년12월_전체세대","2015년12월_1인세대","2015년12월_2인세대","2015년12월_3인세대","2015년12월_4인세대","2015년12월_5인세대","2015년12월_6인세대","2015년12월_7인세대","2015년12월_8인세대","2015년12월_9인세대","2015년12월_10인세대"
"전국  (1000000000)","21,011,152","7,243,224","4,433,522","3,886,271","4,009,918","1,100,580","251,788","60,952","15,961","4,879","4,057"
"서울특별시  (1100000000)","4,189,948","1,539,462","836,335","781,663","785,821","189,641","42,450","10,227","2,834","905","610"
"서울특별시 종로구 (1111000000)","72,645","34,532","13,206","10,874","10,196","2,860","690","193","50","31","13"
"서울특별시 중구 (1114000000)","59,321","27,815","11,754","9,077","7,876","2,094","514","128","38","9","16"
"서울특별시 용산구 (1117000000)","107,512","48,316","21,144","17,344","15,320","4,028","974","245","96","23","22"
"서울특별시 성동구 (1120000000)","126,714","48,089","25,617","23,768","22,267","5,229","1,278","332","93","28","13"
"서울특별시 광진구 (1121500000)","158,353","65,138","30,414","27,375","27,389","6,173","1,400","328","91","26","19"
"서울특별시 동대문구 (1123000000)","159,941","67,641","30,892","26,922","25,541","6,667","1,716","407","105","37","13"
"서울특별시 중랑구 (1126000000)","176,390","65,501","37,303","33,352","30,540","7,573","1,639","348","94","26","14"
"서울특별시 성북구 (1129000000)","190,973","69,679","38,118","35,907","35,512","8,907","2,087","554","134","36","39"
"서울특별시 강북구 (1130500000)","141,088","51,428","31,552","26,956","23,362","5,938","1,365","337","94","35","21"
"서울특별시 도봉구 (1132000000)","136,903","39,677","29,971","29,344","28,880","6,915","1,584","385","109","25","13"
"서울특별시 노원구 (1135000000)","219,768","61,943","45,333","46,466","51,890","11,267","2,189","474","147","34","25"
"서울특별시 은평구 (1138000000)","203,410","68,901","43,806","40,234","37,780","9,705","2,249","526","144","37","28"
"서울특별시 서대문구 (1141000000)","135,770","54,191","27,464","23,950","22,731","5,612","1,367","337","81","20","17"
"서울특별시 마포구 (1144000000)","171,480","70,534","34,732","29,555","27,885","6,751","1,481","366","108","38","30"
"서울특별시 양천구 (1147000000)","179,512","48,053","34,202","38,406","45,451","10,542","2,131","511","133","50","33"
"서울특별시 강서구 (1150000000)","238,952","78,733","50,528","48,278","47,079","11,241","2,321","548","140","53","31"
"서울특별시 구로구 (1153000000)","172,321","58,833","35,925","33,513","33,142","8,348","1,938","437","126","38","21"
"서울특별시 금천구 (1154500000)","103,847","42,169","21,039","18,085","17,007","4,210","991","232","67","31","16"
"서울특별시 영등포구 (1156000000)","167,863","70,173","32,581","28,987","27,586","6,526","1,465","401","78","38","28"
"서울특별시 동작구 (1159000000)","170,495","64,763","34,431","31,153","30,452","7,436","1,681","403","113","42","21"
"서울특별시 관악구 (1162000000)","249,191","124,162","46,358","36,029","32,167","7,981","1,837","462","118","43","34"
"서울특별시 서초구 (1165000000)","173,007","54,370","32,421","34,497","39,070","9,552","2,254","594","159","55","35"
"서울특별시 강남구 (1168000000)","237,373","88,365","42,696","42,787","48,805","11,317","2,489","609","183","77","45"
"서울특별시 송파구 (1171000000)","256,611","79,291","49,143","52,262","58,868","13,370","2,759","639","208","34","37"
"서울특별시 강동구 (1174000000)","180,508","57,165","35,705","36,542","39,025","9,399","2,051","431","125","39","26"
"부산광역시  (2600000000)","1,437,818","474,451","326,287","283,463","265,364","67,695","15,526","3,632","894","276","230"
"부산광역시 중구 (2611000000)","23,295","11,645","5,182","3,331","2,240","630","202","48","9","4","4"
"부산광역시 서구 (2614000000)","53,199","22,723","12,290","8,681","6,851","1,951","519","128","33","9","14"
"부산광역시 동구 (2617000000)","43,430","19,010","10,219","6,952","5,245","1,471","411","82","23","9","8"
"부산광역시 영도구 (2620000000)","56,446","20,612","14,193","10,445","8,126","2,287","592","138","35","11","7"
"부산광역시 부산진구 (2623000000)","165,199","62,094","37,207","30,104","26,865","6,885","1,558","372","74","23","17"
