"행정구역","2021년12월_전월인구수_남자인구수","2021년12월_전월인구수_여자인구수","2021년12월_전월인구수_계","2021년12월_당월인구수_남자인구수","2021년12월_당월인구수_여자인구수","2021년12월_당월인구수_계","2021년12월_인구증감_남자인구수","2021년12월_인구증감_여자인구수","2021년12월_인구증감_계"
"전국  (1000000000)","25,754,446","25,898,258","51,652,704","25,746,684","25,892,125","51,638,809","-7,762","-6,133","-13,895"
"서울특별시  (1100000000)","4,624,290","4,896,590","9,520,880","4,618,040","4,891,418","9,509,458","-6,250","-5,172","-11,422"
"서울특별시 종로구 (1111000000)","70,393","74,680","145,073","70,183","74,500","144,683","-210","-180","-390"
"서울특별시 종로구 청운효자동(1111051500)","5,542","6,464","12,006","5,526","6,452","11,978","-16","-12","-28"
"서울특별시 종로구 사직동(1111053000)","4,210","5,157","9,367","4,200","5,172","9,372","-10","15","5"
"서울특별시 종로구 삼청동(1111054000)","1,177","1,290","2,467","1,168","1,288","2,456","-9","-2","-11"
"서울특별시 종로구 부암동(1111055000)","4,597","5,032","9,629","4,570","5,009","9,579","-27","-23","-50"
"서울특별시 종로구 평창동(1111056000)","8,455","9,697","18,152","8,457","9,695","18,152","2","-2","0"
"서울특별시 종로구 무악동(1111057000)","3,857","4,435","8,292","3,841","4,418","8,259","-16","-17","-33"
"서울특별시 종로구 교남동(1111058000)","4,635","5,434","10,069","4,634","5,412","10,046","-1","-22","-23"
"서울특별시 종로구 가회동(1111060000)","1,900","2,227","4,127","1,884","2,204","4,088","-16","-23","-39"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","4,245","2,929","7,174","4,251","2,946","7,197","6","17","23"
"서울특별시 종로구 종로5.6가동(1111063000)","2,743","2,384","5,127","2,720","2,369","5,089","-23","-15","-38"
"서울특별시 종로구 이화동(1111064000)","3,448","3,837","7,285","3,419","3,812","7,231","-29","-25","-54"
"서울특별시 종로구 혜화동(1111065000)","7,936","8,501","16,437","7,904","8,479","16,383","-32","-22","-54"
"서울특별시 종로구 창신제1동(1111067000)","2,623","2,265","4,888","2,626","2,265","4,891","3","0","3"
"서울특별시 종로구 창신제2동(1111068000)","4,101","3,852","7,953","4,082","3,829","7,911","-19","-23","-42"
"서울특별시 종로구 창신제3동(1111069000)","3,259","3,359","6,618","3,242","3,333","6,575","-17","-26","-43"
"서울특별시 종로구 숭인제1동(1111070000)","2,822","3,033","5,855","2,811","3,026","5,837","-11","-7","-18"
"서울특별시 종로구 숭인제2동(1111071000)","4,843","4,784","9,627","4,848","4,791","9,639","5","7","12"
"서울특별시 중구 (1114000000)","59,743","62,930","122,673","59,630","62,869","122,499","-113","-61","-174"
"서울특별시 중구 소공동(1114052000)","1,079","1,172","2,251","1,077","1,173","2,250","-2","1","-1"
"서울특별시 중구 회현동(1114054000)","2,503","2,314","4,817","2,488","2,296","4,784","-15","-18","-33"
"서울특별시 중구 명동(1114055000)","1,255","1,612","2,867","1,262","1,622","2,884","7","10","17"
"서울특별시 중구 필동(1114057000)","2,041","1,981","4,022","2,045","1,978","4,023","4","-3","1"
"서울특별시 중구 장충동(1114058000)","2,367","2,265","4,632","2,351","2,239","4,590","-16","-26","-42"
"서울특별시 중구 광희동(1114059000)","2,682","2,553","5,235","2,688","2,567","5,255","6","14","20"
"서울특별시 중구 을지로동(1114060500)","1,061","692","1,753","1,048","690","1,738","-13","-2","-15"
"서울특별시 중구 신당동(1114061500)","3,773","3,880","7,653","3,782","3,891","7,673","9","11","20"
"서울특별시 중구 다산동(1114062500)","6,740","7,098","13,838","6,712","7,086","13,798","-28","-12","-40"
"서울특별시 중구 약수동(1114063500)","7,806","8,924","16,730","7,750","8,926","16,676","-56","2","-54"
"서울특별시 중구 청구동(1114064500)","6,439","7,168","13,607","6,438","7,150","13,588","-1","-18","-19"
"서울특별시 중구 신당제5동(1114065000)","5,052","5,330","10,382","5,051","5,312","10,363","-1","-18","-19"
"서울특별시 중구 동화동(1114066500)","4,978","5,316","10,294","4,956","5,310","10,266","-22","-6","-28"
"서울특별시 중구 황학동(1114067000)","5,990","6,579","12,569","5,997","6,579","12,576","7","0","7"
"서울특별시 중구 중림동(1114068000)","5,977","6,046","12,023","5,985","6,050","12,035","8","4","12"
"서울특별시 용산구 (1117000000)","107,486","115,956","223,442","107,210","115,743","222,953","-276","-213","-489"
"서울특별시 용산구 후암동(1117051000)","8,220","8,645","16,865","8,211","8,622","16,833","-9","-23","-32"
"서울특별시 용산구 용산2가동(1117052000)","4,594","4,888","9,482","4,569","4,887","9,456","-25","-1","-26"
"서울특별시 용산구 남영동(1117053000)","4,473","2,884","7,357","4,471","2,880","7,351","-2","-4","-6"
"서울특별시 용산구 청파동(1117055500)","9,159","10,360","19,519","9,114","10,357","19,471","-45","-3","-48"
"서울특별시 용산구 원효로제1동(1117056000)","7,587","8,384","15,971","7,582","8,368","15,950","-5","-16","-21"
"서울특별시 용산구 원효로제2동(1117057000)","6,484","7,285","13,769","6,478","7,273","13,751","-6","-12","-18"
"서울특별시 용산구 효창동(1117058000)","4,763","5,308","10,071","4,748","5,289","10,037","-15","-19","-34"
"서울특별시 용산구 용문동(1117059000)","5,695","6,205","11,900","5,675","6,188","11,863","-20","-17","-37"
"서울특별시 용산구 한강로동(1117062500)","10,326","11,465","21,791","10,334","11,429","21,763","8","-36","-28"
"서울특별시 용산구 이촌제1동(1117063000)","12,151","13,825","25,976","12,119","13,774","25,893","-32","-51","-83"
