"행정구역","2014년12월_남자 평균연령","2014년12월_여자 평균연령","2014년12월_평균연령"
"전국  (1000000000)","38.9","41.2","40"
"서울특별시  (1100000000)","39.3","41","40.2"
"서울특별시 종로구 (1111000000)","41.5","43.4","42.5"
"서울특별시 종로구 청운효자동(1111051500)","38.9","42.1","40.6"
"서울특별시 종로구 사직동(1111053000)","42","43.8","42.9"
"서울특별시 종로구 삼청동(1111054000)","44.3","47.1","45.7"
"서울특별시 종로구 부암동(1111055000)","40.6","43.6","42.1"
"서울특별시 종로구 평창동(1111056000)","40.4","43.4","42"
"서울특별시 종로구 무악동(1111057000)","40.9","41.5","41.2"
"서울특별시 종로구 교남동(1111058000)","42.3","44.7","43.5"
"서울특별시 종로구 가회동(1111060000)","42","44.3","43.2"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","49.2","47.9","48.7"
"서울특별시 종로구 종로5.6가동(1111063000)","44.4","46.5","45.3"
"서울특별시 종로구 이화동(1111064000)","40.2","41.6","41"
"서울특별시 종로구 혜화동(1111065000)","38.5","41.3","39.9"
"서울특별시 종로구 창신제1동(1111067000)","45.2","46.2","45.7"
"서울특별시 종로구 창신제2동(1111068000)","42.1","44.4","43.2"
"서울특별시 종로구 창신제3동(1111069000)","40.2","42.4","41.3"
"서울특별시 종로구 숭인제1동(1111070000)","41.1","43.2","42.2"
"서울특별시 종로구 숭인제2동(1111071000)","43.2","43.7","43.4"
"서울특별시 중구 (1114000000)","42","43.8","42.9"
"서울특별시 중구 소공동(1114052000)","41.6","42.1","41.8"
"서울특별시 중구 회현동(1114054000)","49.4","48.7","49.1"
"서울특별시 중구 명동(1114055000)","45.9","49.5","48"
"서울특별시 중구 필동(1114057000)","42.7","45.8","44.2"
"서울특별시 중구 장충동(1114058000)","39.1","41.6","40.3"
"서울특별시 중구 광희동(1114059000)","46.8","47.7","47.2"
"서울특별시 중구 을지로동(1114060500)","51.6","50.6","51.3"
"서울특별시 중구 신당동(1114061500)","43.2","44.6","43.9"
"서울특별시 중구 다산동(1114062500)","40.7","43.2","42"
"서울특별시 중구 약수동(1114063500)","41.3","43.8","42.6"
"서울특별시 중구 청구동(1114064500)","40.3","43.1","41.8"
"서울특별시 중구 신당제5동(1114065000)","40.5","43","41.7"
"서울특별시 중구 동화동(1114066500)","39.7","41.5","40.6"
"서울특별시 중구 황학동(1114067000)","41","42.4","41.7"
"서울특별시 중구 중림동(1114068000)","43","44","43.5"
"서울특별시 용산구 (1117000000)","40.8","42.9","41.8"
"서울특별시 용산구 후암동(1117051000)","39.9","42.9","41.4"
"서울특별시 용산구 용산2가동(1117052000)","41.4","44.6","43"
"서울특별시 용산구 남영동(1117053000)","47.3","46.2","46.9"
"서울특별시 용산구 청파동(1117055500)","40","41.8","41"
"서울특별시 용산구 원효로제1동(1117056000)","39.1","40","39.5"
"서울특별시 용산구 원효로제2동(1117057000)","40","41","40.6"
"서울특별시 용산구 효창동(1117058000)","39.5","42.1","40.8"
"서울특별시 용산구 용문동(1117059000)","39.5","41.4","40.5"
"서울특별시 용산구 한강로동(1117062500)","43.4","45.3","44.4"
"서울특별시 용산구 이촌제1동(1117063000)","38.5","40.3","39.5"
"서울특별시 용산구 이촌제2동(1117064000)","41.2","44.8","43"
"서울특별시 용산구 이태원제1동(1117065000)","43.1","47","45.2"
"서울특별시 용산구 이태원제2동(1117066000)","42.2","44.8","43.6"
"서울특별시 용산구 한남동(1117068500)","41.5","43.6","42.6"
"서울특별시 용산구 서빙고동(1117069000)","39.8","41.6","40.7"
"서울특별시 용산구 보광동(1117070000)","41","45.1","43.1"
"서울특별시 성동구 (1120000000)","39.7","41.2","40.5"
"서울특별시 성동구 왕십리제2동(1120052000)","39.9","41.4","40.7"
"서울특별시 성동구 왕십리도선동(1120053500)","40.4","42.1","41.3"
"서울특별시 성동구 마장동(1120054000)","39.8","41.1","40.5"
"서울특별시 성동구 사근동(1120055000)","37.2","39.6","38.4"
"서울특별시 성동구 행당제1동(1120056000)","40.4","41.7","41"
"서울특별시 성동구 행당제2동(1120057000)","38.3","39.3","38.9"
"서울특별시 성동구 응봉동(1120058000)","38.9","40.4","39.7"
"서울특별시 성동구 금호1가동(1120059000)","39.9","42.7","41.3"
"서울특별시 성동구 금호2.3가동(1120061500)","39.8","41.9","40.9"
"서울특별시 성동구 금호4가동(1120062000)","38.9","41.2","40.1"
"서울특별시 성동구 옥수동(1120064500)","39.1","40.7","39.9"
"서울특별시 성동구 성수1가제1동(1120065000)","38.9","39.9","39.4"
"서울특별시 성동구 성수1가제2동(1120066000)","39.4","40.3","39.8"
"서울특별시 성동구 성수2가제1동(1120067000)","40.7","42.3","41.5"
"서울특별시 성동구 성수2가제3동(1120069000)","41.3","41.8","41.6"
"서울특별시 성동구 송정동(1120072000)","40.8","42.1","41.4"
"서울특별시 성동구 용답동(1120079000)","42","42.8","42.3"
"서울특별시 광진구 (1121500000)","38.9","40.2","39.5"
"서울특별시 광진구 화양동(1121571000)","37.8","37.8","37.8"
"서울특별시 광진구 군자동(1121573000)","39.3","40.7","40"
"서울특별시 광진구 중곡제1동(1121574000)","40.4","41.8","41.1"
"서울특별시 광진구 중곡제2동(1121575000)","39","40.5","39.8"
"서울특별시 광진구 중곡제3동(1121576000)","40","41.9","40.9"
"서울특별시 광진구 중곡제4동(1121577000)","39.4","41.4","40.4"
"서울특별시 광진구 능동(1121578000)","38.8","40","39.4"
"서울특별시 광진구 광장동(1121581000)","35.6","36.7","36.2"
"서울특별시 광진구 자양제1동(1121582000)","39.4","41.2","40.3"
"서울특별시 광진구 자양제2동(1121583000)","38.8","40.2","39.5"
"서울특별시 광진구 자양제3동(1121584000)","37.9","39","38.5"
"서울특별시 광진구 자양제4동(1121584700)","42.1","43.4","42.7"
"서울특별시 광진구 구의제1동(1121585000)","39.2","40.7","40"
"서울특별시 광진구 구의제2동(1121586000)","39.3","40.7","40"
"서울특별시 광진구 구의제3동(1121587000)","38.4","39.7","39.1"
"서울특별시 동대문구 (1123000000)","40.4","42.3","41.3"
"서울특별시 동대문구 용신동(1123053600)","42.2","43.8","43"
"서울특별시 동대문구 제기동(1123054500)","41.9","44.4","43.1"
"서울특별시 동대문구 전농제1동(1123056000)","41.4","43","42.2"
"서울특별시 동대문구 전농제2동(1123057000)","39.6","41.5","40.6"
"서울특별시 동대문구 답십리제1동(1123060000)","39.5","41.1","40.3"
"서울특별시 동대문구 답십리제2동(1123061000)","40.4","42.2","41.3"
"서울특별시 동대문구 장안제1동(1123065000)","40.1","41.3","40.7"
"서울특별시 동대문구 장안제2동(1123066000)","39","40.7","39.8"
"서울특별시 동대문구 청량리동(1123070500)","43.8","46.6","45.2"
