"행정구역","2016년12월_총인구수","2016년12월_세대수","2016년12월_세대당 인구","2016년12월_남자 인구수","2016년12월_여자 인구수","2016년12월_남여 비율"
"서울특별시  (1100000000)","9,930,616","4,189,839","          2.37","4,876,789","5,053,827","          0.96"
"서울특별시 종로구 (1111000000)","152,737","72,118","          2.12","75,201","77,536","          0.97"
"서울특별시 종로구 청운효자동(1111051500)","13,769","5,658","          2.43","6,503","7,266","          0.89"
"서울특별시 종로구 사직동(1111053000)","9,695","4,399","          2.20","4,429","5,266","          0.84"
"서울특별시 종로구 삼청동(1111054000)","2,903","1,403","          2.07","1,377","1,526","          0.90"
"서울특별시 종로구 부암동(1111055000)","10,616","4,371","          2.43","5,160","5,456","          0.95"
"서울특별시 종로구 평창동(1111056000)","19,290","7,537","          2.56","9,140","10,150","          0.90"
"서울특별시 종로구 무악동(1111057000)","8,453","3,056","          2.77","3,975","4,478","          0.89"
"서울특별시 종로구 교남동(1111058000)","4,679","2,268","          2.06","2,229","2,450","          0.91"
"서울특별시 종로구 가회동(1111060000)","4,635","2,131","          2.18","2,150","2,485","          0.87"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","7,741","5,384","          1.44","4,513","3,228","          1.40"
"서울특별시 종로구 종로5.6가동(1111063000)","5,496","3,170","          1.73","3,035","2,461","          1.23"
"서울특별시 종로구 이화동(1111064000)","8,436","4,443","          1.90","3,968","4,468","          0.89"
"서울특별시 종로구 혜화동(1111065000)","17,735","9,292","          1.91","8,665","9,070","          0.96"
"서울특별시 종로구 창신제1동(1111067000)","5,744","3,132","          1.83","3,112","2,632","          1.18"
"서울특별시 종로구 창신제2동(1111068000)","9,545","4,391","          2.17","4,870","4,675","          1.04"
"서울특별시 종로구 창신제3동(1111069000)","7,560","2,894","          2.61","3,778","3,782","          1.00"
"서울특별시 종로구 숭인제1동(1111070000)","6,761","3,062","          2.21","3,363","3,398","          0.99"
"서울특별시 종로구 숭인제2동(1111071000)","9,679","5,527","          1.75","4,934","4,745","          1.04"
"서울특별시 중구 (1114000000)","125,249","59,651","          2.10","62,204","63,045","          0.99"
