"행정구역","2018년12월_전체세대","2018년12월_1인세대","2018년12월_2인세대","2018년12월_3인세대","2018년12월_4인세대","2018년12월_5인세대","2018년12월_6인세대","2018년12월_7인세대","2018년12월_8인세대","2018년12월_9인세대","2018년12월_10인세대"
"전국  (1000000000)","22,042,947","8,085,526","4,929,337","3,984,045","3,751,927","997,900","219,260","52,850","13,983","4,340","3,779"
"서울특별시  (1100000000)","4,263,868","1,679,049","891,792","768,663","704,778","168,321","37,669","9,452","2,699","841","604"
"서울특별시 종로구 (1111000000)","73,735","36,012","13,901","10,952","9,348","2,601","631","195","58","21","16"
"서울특별시 중구 (1114000000)","61,502","29,832","12,753","9,255","7,238","1,791","456","114","32","13","18"
"서울특별시 용산구 (1117000000)","108,974","50,818","22,284","16,997","14,034","3,606","891","226","72","23","23"
"서울특별시 성동구 (1120000000)","137,209","54,940","29,647","25,071","21,190","4,794","1,144","294","95","21","13"
"서울특별시 광진구 (1121500000)","162,606","70,605","32,723","27,281","24,753","5,508","1,270","323","89","31","23"
"서울특별시 동대문구 (1123000000)","161,820","72,616","32,618","26,287","22,662","5,777","1,408","323","88","27","14"
"서울특별시 중랑구 (1126000000)","180,511","72,086","40,504","32,621","26,995","6,517","1,332","338","82","22","14"
"서울특별시 성북구 (1129000000)","186,601","71,004","38,798","34,648","31,796","7,789","1,882","496","113","33","42"
"서울특별시 강북구 (1130500000)","143,395","57,388","33,037","25,619","20,545","5,267","1,147","252","93","22","25"
"서울특별시 도봉구 (1132000000)","138,087","43,182","32,551","28,962","25,408","6,092","1,389","356","92","42","13"
"서울특별시 노원구 (1135000000)","217,655","67,527","47,741","44,866","45,217","9,770","1,932","403","138","39","22"
"서울특별시 은평구 (1138000000)","205,001","73,517","46,903","39,233","33,915","8,691","2,037","508","129","34","34"
"서울특별시 서대문구 (1141000000)","138,549","57,194","28,781","24,437","21,209","5,260","1,207","341","85","21","14"
"서울특별시 마포구 (1144000000)","172,505","75,480","35,381","28,617","25,285","5,962","1,279","342","103","31","25"
"서울특별시 양천구 (1147000000)","176,498","48,615","36,590","38,406","40,961","9,321","1,930","462","143","41","29"
"서울특별시 강서구 (1150000000)","258,503","97,429","56,974","48,238","42,634","10,322","2,167","526","140","49","24"
"서울특별시 구로구 (1153000000)","172,457","62,904","38,316","32,605","29,225","7,252","1,612","382","104","38","19"
"서울특별시 금천구 (1154500000)","107,971","46,842","23,081","17,997","15,103","3,779","870","210","52","22","15"
"서울특별시 영등포구 (1156000000)","171,085","76,795","34,146","28,128","24,538","5,738","1,282","314","89","22","33"
"서울특별시 동작구 (1159000000)","177,176","73,426","36,424","30,966","27,729","6,609","1,469","400","99","33","21"
"서울특별시 관악구 (1162000000)","262,222","142,742","48,591","33,787","28,087","6,823","1,576","425","129","37","25"
"서울특별시 서초구 (1165000000)","172,918","57,213","34,019","34,110","35,896","8,780","2,067","552","177","59","45"
"서울특별시 강남구 (1168000000)","228,775","88,584","42,357","40,866","43,665","10,097","2,292","618","180","77","39"
"서울특별시 송파구 (1171000000)","270,866","90,734","55,726","54,172","54,371","12,242","2,704","623","207","56","31"
"서울특별시 강동구 (1174000000)","177,247","61,564","37,946","34,542","32,974","7,933","1,695","429","110","27","27"
"부산광역시  (2600000000)","1,480,468","532,193","354,350","278,978","237,961","59,678","13,065","3,034","762","242","205"
"부산광역시 중구 (2611000000)","22,975","12,302","5,148","2,921","1,874","523","148","50","3","4","2"
"부산광역시 서구 (2614000000)","52,819","23,834","12,446","8,186","6,022","1,748","427","111","23","5","17"
"부산광역시 동구 (2617000000)","43,261","20,333","10,548","6,298","4,419","1,254","319","58","19","7","6"
"부산광역시 영도구 (2620000000)","55,312","22,017","14,543","9,488","6,796","1,849","455","110","32","11","11"
"부산광역시 부산진구 (2623000000)","165,253","67,614","38,646","28,392","22,996","5,941","1,275","288","67","23","11"
"부산광역시 동래구 (2626000000)","108,757","34,347","26,196","21,754","19,978","5,013","1,123","243","67","20","16"
"부산광역시 남구 (2629000000)","117,558","39,555","28,771","22,898","19,782","4,966","1,184","305","66","19","12"
"부산광역시 북구 (2632000000)","120,036","36,430","28,954","24,717","23,073","5,528","1,071","188","55","13","7"
"부산광역시 해운대구 (2635000000)","166,748","52,340","39,254","34,563","31,179","7,296","1,576","376","112","30","22"
"부산광역시 사하구 (2638000000)","138,503","46,945","33,844","27,243","23,309","5,577","1,204","275","65","23","18"
"부산광역시 금정구 (2641000000)","106,415","39,949","25,483","19,566","16,123","4,045","932","207","58","21","31"
"부산광역시 강서구 (2644000000)","50,488","17,297","10,710","9,868","9,512","2,413","508","130","33","9","8"
"부산광역시 연제구 (2647000000)","87,833","30,008","21,244","17,223","14,622","3,701","793","165","52","13","12"
