"행정구역","2011년12월_전월인구수_남자인구수","2011년12월_전월인구수_여자인구수","2011년12월_전월인구수_계","2011년12월_당월인구수_남자인구수","2011년12월_당월인구수_여자인구수","2011년12월_당월인구수_계","2011년12월_인구증감_남자인구수","2011년12월_인구증감_여자인구수","2011년12월_인구증감_계"
"전국  (1000000000)","","","50,717,719","25,406,934","25,327,350","50,734,284","","","16,565"
"서울특별시  (1100000000)","","","10,257,741","5,073,899","5,175,780","10,249,679","","","-8,062"
"서울특별시 종로구 (1111000000)","","","168,736","83,931","84,451","168,382","","","-354"
"서울특별시 종로구 청운효자동(1111051500)","","","15,287","7,384","7,876","15,260","","","-27"
"서울특별시 종로구 사직동(1111053000)","","","10,175","4,701","5,449","10,150","","","-25"
"서울특별시 종로구 삼청동(1111054000)","","","3,425","1,643","1,772","3,415","","","-10"
"서울특별시 종로구 부암동(1111055000)","","","11,381","5,629","5,740","11,369","","","-12"
"서울특별시 종로구 평창동(1111056000)","","","19,725","9,443","10,234","19,677","","","-48"
"서울특별시 종로구 무악동(1111057000)","","","8,564","4,115","4,447","8,562","","","-2"
"서울특별시 종로구 교남동(1111058000)","","","9,102","4,493","4,555","9,048","","","-54"
"서울특별시 종로구 가회동(1111060000)","","","5,567","2,667","2,888","5,555","","","-12"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","","","7,934","4,533","3,390","7,923","","","-11"
"서울특별시 종로구 종로5.6가동(1111063000)","","","6,178","3,319","2,837","6,156","","","-22"
"서울특별시 종로구 이화동(1111064000)","","","9,223","4,446","4,806","9,252","","","29"
"서울특별시 종로구 혜화동(1111065000)","","","12,183","5,926","6,246","12,172","","","-11"
"서울특별시 종로구 명륜3가동(1111066000)","","","6,289","3,283","2,963","6,246","","","-43"
"서울특별시 종로구 창신제1동(1111067000)","","","6,871","3,619","3,235","6,854","","","-17"
"서울특별시 종로구 창신제2동(1111068000)","","","11,513","5,844","5,642","11,486","","","-27"
"서울특별시 종로구 창신제3동(1111069000)","","","8,572","4,258","4,291","8,549","","","-23"
"서울특별시 종로구 숭인제1동(1111070000)","","","7,477","3,748","3,702","7,450","","","-27"
"서울특별시 종로구 숭인제2동(1111071000)","","","9,270","4,880","4,378","9,258","","","-12"
"서울특별시 중구 (1114000000)","","","132,211","67,065","66,128","133,193","","","982"
"서울특별시 중구 소공동(1114052000)","","","1,305","689","612","1,301","","","-4"
"서울특별시 중구 회현동(1114054000)","","","5,581","3,111","2,565","5,676","","","95"
"서울특별시 중구 명동(1114055000)","","","3,429","1,525","1,886","3,411","","","-18"
"서울특별시 중구 필동(1114057000)","","","4,609","2,481","2,135","4,616","","","7"
"서울특별시 중구 장충동(1114058000)","","","5,622","2,880","2,716","5,596","","","-26"
"서울특별시 중구 광희동(1114059000)","","","5,728","3,066","2,632","5,698","","","-30"
"서울특별시 중구 을지로동(1114060500)","","","2,020","1,261","766","2,027","","","7"
"서울특별시 중구 신당제1동(1114061000)","","","8,255","4,217","3,970","8,187","","","-68"
"서울특별시 중구 신당제2동(1114062000)","","","16,704","8,253","8,394","16,647","","","-57"
"서울특별시 중구 신당제3동(1114063000)","","","19,578","9,417","10,106","19,523","","","-55"
"서울특별시 중구 신당제4동(1114064000)","","","16,037","7,727","8,264","15,991","","","-46"
"서울특별시 중구 신당제5동(1114065000)","","","8,750","4,746","4,658","9,404","","","654"
"서울특별시 중구 신당제6동(1114066000)","","","9,553","4,966","5,178","10,144","","","591"
"서울특별시 중구 황학동(1114067000)","","","12,618","6,418","6,105","12,523","","","-95"
"서울특별시 중구 중림동(1114068000)","","","12,422","6,308","6,141","12,449","","","27"
"서울특별시 용산구 (1117000000)","","","246,662","120,183","126,318","246,501","","","-161"
"서울특별시 용산구 후암동(1117051000)","","","20,171","10,085","10,071","20,156","","","-15"
"서울특별시 용산구 용산2가동(1117052000)","","","13,161","6,371","6,771","13,142","","","-19"
"서울특별시 용산구 남영동(1117053000)","","","7,871","4,668","3,184","7,852","","","-19"
"서울특별시 용산구 청파동(1117055500)","","","23,677","11,469","12,165","23,634","","","-43"
"서울특별시 용산구 원효로제1동(1117056000)","","","12,531","6,263","6,260","12,523","","","-8"
"서울특별시 용산구 원효로제2동(1117057000)","","","15,862","7,566","8,249","15,815","","","-47"
"서울특별시 용산구 효창동(1117058000)","","","11,404","5,581","5,792","11,373","","","-31"
"서울특별시 용산구 용문동(1117059000)","","","13,312","6,531","6,780","13,311","","","-1"
"서울특별시 용산구 한강로동(1117062500)","","","15,544","7,802","7,716","15,518","","","-26"
"서울특별시 용산구 이촌제1동(1117063000)","","","27,032","12,681","14,426","27,107","","","75"
"서울특별시 용산구 이촌제2동(1117064000)","","","10,518","5,029","5,453","10,482","","","-36"
"서울특별시 용산구 이태원제1동(1117065000)","","","8,558","3,940","4,616","8,556","","","-2"
"서울특별시 용산구 이태원제2동(1117066000)","","","11,208","5,230","5,983","11,213","","","5"
"서울특별시 용산구 한남동(1117068500)","","","23,838","11,492","12,316","23,808","","","-30"
