"행정구역","2021년12월_총인구수","2021년12월_세대수","2021년12월_세대당 인구","2021년12월_남자 인구수","2021년12월_여자 인구수","2021년12월_남여 비율"
"서울특별시  (1100000000)","9,509,458","4,426,007","          2.15","4,618,040","4,891,418","          0.94"
"서울특별시 종로구 (1111000000)","144,683","73,494","          1.97","70,183","74,500","          0.94"
"서울특별시 종로구 청운효자동(1111051500)","11,978","5,241","          2.29","5,526","6,452","          0.86"
"서울특별시 종로구 사직동(1111053000)","9,372","4,696","          2.00","4,200","5,172","          0.81"
"서울특별시 종로구 삼청동(1111054000)","2,456","1,229","          2.00","1,168","1,288","          0.91"
"서울특별시 종로구 부암동(1111055000)","9,579","4,265","          2.25","4,570","5,009","          0.91"
"서울특별시 종로구 평창동(1111056000)","18,152","7,509","          2.42","8,457","9,695","          0.87"
"서울특별시 종로구 무악동(1111057000)","8,259","3,069","          2.69","3,841","4,418","          0.87"
"서울특별시 종로구 교남동(1111058000)","10,046","4,458","          2.25","4,634","5,412","          0.86"
"서울특별시 종로구 가회동(1111060000)","4,088","1,991","          2.05","1,884","2,204","          0.85"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","7,197","5,247","          1.37","4,251","2,946","          1.44"
"서울특별시 종로구 종로5.6가동(1111063000)","5,089","3,385","          1.50","2,720","2,369","          1.15"
"서울특별시 종로구 이화동(1111064000)","7,231","4,298","          1.68","3,419","3,812","          0.90"
"서울특별시 종로구 혜화동(1111065000)","16,383","9,187","          1.78","7,904","8,479","          0.93"
"서울특별시 종로구 창신제1동(1111067000)","4,891","2,823","          1.73","2,626","2,265","          1.16"
"서울특별시 종로구 창신제2동(1111068000)","7,911","4,043","          1.96","4,082","3,829","          1.07"
"서울특별시 종로구 창신제3동(1111069000)","6,575","2,798","          2.35","3,242","3,333","          0.97"
"서울특별시 종로구 숭인제1동(1111070000)","5,837","2,970","          1.97","2,811","3,026","          0.93"
"서울특별시 종로구 숭인제2동(1111071000)","9,639","6,285","          1.53","4,848","4,791","          1.01"
"서울특별시 중구 (1114000000)","122,499","63,519","          1.93","59,630","62,869","          0.95"
